wochentag,isferienzh,ferien_desc_zh,isferiensg,ferien_desc_sg,isferiengr,ferien_desc_gr,feiertag_desc,isfeiertag_zh,isfeiertag_sg,isfeiertag_gr,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,schalter,day_count,sin_weekday,cos_weekday,sin_yearday,cos_yearday
6,0,0,1,1,0,0,0,0,0,0,1.8,67.225,30031.5,4.2,1,1,0,15.3,2.7,5.4,-11.1,0,0,0,0,0,0,25.2,1.4,0,40,209,-0.7818314824680299,0.6234898018587334,-0.4405187843504952,-0.8977433935342336
7,0,0,1,1,0,0,0,0,0,0,-1.775,72.175,30041,1.575,1,1,0,6,4.5,6.3,-6.5,2.74,1.7,0,0,0,0,9.4,3.1,0,39,210,-2.4492935982947064e-16,1,-0.455906693508459,-0.8900275764346766
1,0,0,1,1,0,0,26,1,1,1,3.175,73.7,30028.5,4.15,2.325,2.35,0,16.4,2.3,7.1,-7.9,0,0,0,0,0.21,0,20.4,0.3,0,44,211,0.7818314824680297,0.6234898018587336,-0.471159507673864,-0.8820480249558535
2,0,0,1,1,1,3,0,0,0,0,0.375,74.975,30019,2.225,1,1,0,2.9,3.3,2.2,-5.8,0,0,0,0,0,0,6.4,1.1,0,26,212,0.9749279121818236,-0.22252093395631434,-0.4862727071086902,-0.8738071036110807
3,0,0,1,1,1,3,0,0,0,0,-0.95,76.775,24554.25,2.925,1,1,0,7.8,4.7,2.1,-4.5,3.54,2.2,0,0,0,0,16.9,1.7,0,40,213,0.43388373911755823,-0.900968867902419,-0.5012418134457756,-0.8653072543632061
4,0,0,1,1,1,3,0,0,0,0,0.125,73.1,24577,4.125,7.325,1,0,10.8,3.7,9.2,-2.9,0,0,0,0,0.73,0.7,19.6,0,0,27,214,-0.433883739117558,-0.9009688679024191,-0.5160623910158526,-0.8565509959010037
5,0,0,1,1,1,3,0,0,0,0,5,74.8,30030.25,2.8,1,1,0,7.7,2.4,12.1,-5.1,0,0,0,0,0,0,11.1,5.5,0,27,215,-0.9749279121818235,-0.2225209339563146,-0.5307300481619331,-0.8475409228928312
6,0,0,1,1,1,3,0,0,0,0,5.05,78.875,30000,1.625,1,1,0,2.3,2.7,9.3,-4.4,0,0,0,0,0,0,6.5,2.7,0,30,216,-0.7818314824680299,0.6234898018587334,-0.5452404385406507,-0.8382797052177744
7,0,0,1,1,1,3,0,0,0,0,4.375,83.275,30021,2.2,1,1,0,2.7,3,9.1,-6.1,0,0,0,0,0,0,9.4,0.9,0,30,217,-2.4492935982947064e-16,1,-0.5595892624101764,-0.828770087174504
1,0,0,1,1,1,3,0,0,0,0,3.525,86.925,30031.75,2.45,1,1,0,2.4,3.3,7.3,-10.3,0,0,0,0,0,0,7.2,1.3,0,38,218,0.7818314824680297,0.6234898018587336,-0.5737722679043243,-0.8190148866680802
